text,tema_real,cluster,x,y
"El caso involucra verificación de permisos, atención humanitaria y enfoque diferencial. Referencia: Ley 100 de 1993.",migratorio,2,-2.721842,6.7272887
Se analiza la filiación y el interés superior del menor conforme a Ley 100 de 1993. Referencia: Ley 1448 de 2011.,familia,2,9.0326395,4.2783313
"Se tramita proceso de alimentos, custodia y regulación de visitas. Referencia: Ley 1257 de 2008.",familia,4,-4.177634,12.220799
Se presentó demanda por incumplimiento contractual y reclamación de perjuicios. Referencia: Ley 1448 de 2011.,civil,3,1.8545886,5.328498
"El caso involucra verificación de permisos, atención humanitaria y enfoque diferencial. Referencia: Ley 1098 de 2006.",migratorio,2,-3.2583494,4.9316287
"El caso involucra verificación de permisos, atención humanitaria y enfoque diferencial. Referencia: Ley 1098 de 2006.",migratorio,2,-3.7582135,4.9314404
La Fiscalía evaluó el conflicto por reconocimiento de prestaciones sociales. Referencia: Ley 1448 de 2011.,laboral,2,6.5638814,-4.3756785
"Se tramita proceso de alimentos, custodia y regulación de visitas. Referencia: Ley 1010 de 2006.",familia,4,-5.3801327,13.043055
Se investiga el delito de hurto y se ordena la práctica de pruebas en Medellín. Referencia: Ley 1098 de 2006.,penal,0,-5.120957,-6.3204484
Se analiza la filiación y el interés superior del menor conforme a Ley 100 de 1993. Referencia: Ley 1010 de 2006.,familia,2,9.699044,3.6100492
Se investiga el delito de hurto y se ordena la práctica de pruebas en Cali. Referencia: Ley 1098 de 2006.,penal,0,-6.747077,-7.2994394
Se requiere asesoría para proteger derechos de población migrante y mecanismos de protección. Referencia: Ley 1448 de 2011.,migratorio,4,-9.688309,9.513641
La Comisaría de Familia evaluó el conflicto por reconocimiento de prestaciones sociales. Referencia: Ley 1448 de 2011.,laboral,2,5.909884,-6.179735
"Se tramita proceso de alimentos, custodia y regulación de visitas. Referencia: Ley 1448 de 2011.",familia,4,-4.360864,13.154892
"Se tramita proceso de alimentos, custodia y regulación de visitas. Referencia: Ley 1448 de 2011.",familia,4,-3.9554949,12.9168825
"El Defensoría resolvió controversia sobre propiedad, posesión y obligaciones. Referencia: Ley 1010 de 2006.",civil,2,4.609426,1.0014465
"El caso involucra verificación de permisos, atención humanitaria y enfoque diferencial. Referencia: Ley 1010 de 2006.",migratorio,2,-2.7327454,5.41257
La persona migrante solicita orientación sobre regularización y acceso a rutas de atención en Medellín. Referencia: Ley 1257 de 2008.,migratorio,4,-12.026954,4.6111064
El trabajador interpuso denuncia por despido sin justa causa y salarios caídos. Referencia: Ley 1098 de 2006.,laboral,1,12.512267,-2.6219945
Se presentó recurso por incumplimiento contractual y reclamación de perjuicios. Referencia: Ley 1010 de 2006.,civil,3,1.578142,2.437906
En el proceso penal se analizan elementos materiales probatorios relacionados con hurto. Referencia: Ley 100 de 1993.,penal,0,-5.086161,-2.5762923
La Defensoría imputó cargos por hurto y solicitó medida de aseguramiento. Referencia: Ley 1257 de 2008.,penal,0,1.1426351,-1.757201
Se analiza la filiación y el interés superior del menor conforme a Ley 100 de 1993. Referencia: Ley 1448 de 2011.,familia,2,9.113802,3.9119656
La Juzgado ordenó medidas de protección por violencia intrafamiliar. Referencia: Ley 1257 de 2008.,familia,0,0.66791993,-5.3386793
Se presentó demanda por incumplimiento contractual y reclamación de perjuicios. Referencia: Ley 1010 de 2006.,civil,3,1.0641516,3.1343267
En el proceso penal se analizan elementos materiales probatorios relacionados con hurto. Referencia: Ley 1098 de 2006.,penal,0,-4.3173614,-3.7131934
Se alega acoso laboral y se solicita reintegro por estabilidad reforzada. Referencia: Ley 1448 de 2011.,laboral,1,14.315341,-5.67948
El trabajador interpuso tutela por despido sin justa causa y salarios caídos. Referencia: Ley 1010 de 2006.,laboral,1,13.357837,-1.3337637
Se investiga el delito de estafa y se ordena la práctica de pruebas en Bogotá. Referencia: Ley 1257 de 2008.,penal,0,-4.82328,-7.7713523
En el proceso penal se analizan elementos materiales probatorios relacionados con hurto. Referencia: Ley 1098 de 2006.,penal,0,-4.3173614,-3.7131934
La Defensoría evaluó el conflicto por reconocimiento de prestaciones sociales. Referencia: Ley 1448 de 2011.,laboral,2,6.9312553,-5.1905837
El trabajador interpuso denuncia por despido sin justa causa y salarios caídos. Referencia: Ley 1448 de 2011.,laboral,1,13.225086,-2.5463934
Se investiga el delito de lesiones personales y se ordena la práctica de pruebas en Bogotá. Referencia: Ley 100 de 1993.,penal,0,-4.309119,-8.562735
El litigio civil versa sobre responsabilidad extracontractual y reparación integral. Referencia: Ley 1448 de 2011.,civil,3,3.6145747,8.775073
La Comisaría de Familia ordenó medidas de protección por violencia intrafamiliar. Referencia: Ley 1098 de 2006.,familia,0,-0.8178147,-6.643321
El trabajador interpuso denuncia por despido sin justa causa y salarios caídos. Referencia: Ley 1010 de 2006.,laboral,1,12.108539,-1.5405306
La Inspección del Trabajo evaluó el conflicto por reconocimiento de prestaciones sociales. Referencia: Ley 1448 de 2011.,laboral,2,7.516416,-7.2375345
Se presentó querella por incumplimiento contractual y reclamación de perjuicios. Referencia: Ley 1448 de 2011.,civil,3,1.4575888,4.726868
La persona migrante solicita orientación sobre regularización y acceso a rutas de atención en Cali. Referencia: Ley 1010 de 2006.,migratorio,4,-13.033192,6.2824507
La Fiscalía ordenó medidas de protección por violencia intrafamiliar. Referencia: Ley 1010 de 2006.,familia,0,-0.46365878,-5.2893662
La Fiscalía evaluó el conflicto por reconocimiento de prestaciones sociales. Referencia: Ley 1098 de 2006.,laboral,2,5.7645626,-4.2801127
El litigio civil versa sobre responsabilidad extracontractual y reparación integral. Referencia: Ley 1257 de 2008.,civil,3,3.8837497,9.594011
Se presentó recurso por incumplimiento contractual y reclamación de perjuicios. Referencia: Ley 1098 de 2006.,civil,3,2.097826,3.062893
Se requiere asesoría para proteger derechos de población migrante y mecanismos de protección. Referencia: Ley 1257 de 2008.,migratorio,4,-9.384667,8.825651
La Fiscalía imputó cargos por violencia intrafamiliar y solicitó medida de aseguramiento. Referencia: Ley 100 de 1993.,penal,0,-0.064400025,-3.267732
Se presentó tutela por incumplimiento contractual y reclamación de perjuicios. Referencia: Ley 1257 de 2008.,civil,3,3.457721,3.6379125
Se investiga el delito de amenazas y se ordena la práctica de pruebas en Cartagena. Referencia: Ley 1448 de 2011.,penal,0,-7.518448,-5.367669
La persona migrante solicita orientación sobre regularización y acceso a rutas de atención en Medellín. Referencia: Ley 100 de 1993.,migratorio,4,-11.52436,4.740068
El litigio civil versa sobre responsabilidad extracontractual y reparación integral. Referencia: Ley 1010 de 2006.,civil,3,4.7329106,9.836957
La Defensoría ordenó medidas de protección por violencia intrafamiliar. Referencia: Ley 1448 de 2011.,familia,0,0.9951133,-6.1836667
Se presentó demanda por incumplimiento contractual y reclamación de perjuicios. Referencia: Ley 1448 de 2011.,civil,3,2.3751857,5.41388
La Defensoría evaluó el conflicto por reconocimiento de prestaciones sociales. Referencia: Ley 1257 de 2008.,laboral,2,6.6363087,-5.355247
Se presentó recurso por incumplimiento contractual y reclamación de perjuicios. Referencia: Ley 1257 de 2008.,civil,3,2.7273705,4.139876
La Inspección del Trabajo evaluó el conflicto por reconocimiento de prestaciones sociales. Referencia: Ley 100 de 1993.,laboral,2,8.540827,-7.6351357
Se presentó recurso por incumplimiento contractual y reclamación de perjuicios. Referencia: Ley 100 de 1993.,civil,3,4.255073,5.3119636
El litigio civil versa sobre responsabilidad extracontractual y reparación integral. Referencia: Ley 100 de 1993.,civil,3,5.615511,9.311464
Se requiere asesoría para proteger derechos de población migrante y mecanismos de protección. Referencia: Ley 1448 de 2011.,migratorio,4,-10.336671,8.877991
La Juzgado ordenó medidas de protección por violencia intrafamiliar. Referencia: Ley 1098 de 2006.,familia,0,0.08109653,-5.421082
Se investiga el delito de lesiones personales y se ordena la práctica de pruebas en Bogotá. Referencia: Ley 1257 de 2008.,penal,0,-4.424593,-8.309302
Se requiere asesoría para proteger derechos de población migrante y mecanismos de protección. Referencia: Ley 1448 de 2011.,migratorio,4,-10.336671,8.877991
Se analiza la filiación y el interés superior del menor conforme a Ley 1448 de 2011. Referencia: Ley 100 de 1993.,familia,2,8.504167,3.951907
"El caso involucra verificación de permisos, atención humanitaria y enfoque diferencial. Referencia: Ley 1448 de 2011.",migratorio,2,-3.7535572,6.444278
La persona migrante solicita orientación sobre regularización y acceso a rutas de atención en Medellín. Referencia: Ley 1257 de 2008.,migratorio,4,-12.026954,4.6111064
"El caso involucra verificación de permisos, atención humanitaria y enfoque diferencial. Referencia: Ley 1257 de 2008.",migratorio,2,-4.1031075,5.762918
Se investiga el delito de violencia intrafamiliar y se ordena la práctica de pruebas en Cartagena. Referencia: Ley 1257 de 2008.,penal,0,-7.2080545,-5.166686
Se alega acoso laboral y se solicita reintegro por estabilidad reforzada. Referencia: Ley 100 de 1993.,laboral,1,14.527782,-4.88101
"El caso involucra verificación de permisos, atención humanitaria y enfoque diferencial. Referencia: Ley 1010 de 2006.",migratorio,2,-3.0014167,5.7666955
Se investiga el delito de hurto y se ordena la práctica de pruebas en Cartagena. Referencia: Ley 100 de 1993.,penal,0,-6.7557893,-4.8536577
Se requiere asesoría para proteger derechos de población migrante y mecanismos de protección. Referencia: Ley 1098 de 2006.,migratorio,4,-8.561462,8.226033
En el proceso penal se analizan elementos materiales probatorios relacionados con lesiones personales. Referencia: Ley 1448 de 2011.,penal,0,-3.5336082,-2.7800307
En el proceso penal se analizan elementos materiales probatorios relacionados con lesiones personales. Referencia: Ley 1448 de 2011.,penal,0,-3.5333376,-2.779526
Se presentó tutela por incumplimiento contractual y reclamación de perjuicios. Referencia: Ley 1257 de 2008.,civil,3,3.457721,3.6379125
"El Defensoría resolvió controversia sobre propiedad, posesión y obligaciones. Referencia: Ley 1448 de 2011.",civil,2,4.804424,1.2974768
Se alega acoso laboral y se solicita reintegro por estabilidad reforzada. Referencia: Ley 1010 de 2006.,laboral,1,13.80479,-5.0131927
Se investiga el delito de estafa y se ordena la práctica de pruebas en Barranquilla. Referencia: Ley 1010 de 2006.,penal,0,-5.586179,-5.740032
La Fiscalía imputó cargos por lesiones personales y solicitó medida de aseguramiento. Referencia: Ley 1448 de 2011.,penal,0,0.5128264,-2.0562894
Se analiza la filiación y el interés superior del menor conforme a Ley 1257 de 2008. Referencia: Ley 1257 de 2008.,familia,2,7.691775,3.0699742
El trabajador interpuso denuncia por despido sin justa causa y salarios caídos. Referencia: Ley 1098 de 2006.,laboral,1,12.002085,-2.2647338
La Inspección del Trabajo ordenó medidas de protección por violencia intrafamiliar. Referencia: Ley 1448 de 2011.,familia,0,1.5013614,-7.8946834
La Fiscalía evaluó el conflicto por reconocimiento de prestaciones sociales. Referencia: Ley 1010 de 2006.,laboral,2,5.6211596,-4.1262455
"Se tramita proceso de alimentos, custodia y regulación de visitas. Referencia: Ley 100 de 1993.",familia,4,-4.9088507,13.804929
Se alega acoso laboral y se solicita reintegro por estabilidad reforzada. Referencia: Ley 1098 de 2006.,laboral,1,13.480532,-5.407206
El litigio civil versa sobre responsabilidad extracontractual y reparación integral. Referencia: Ley 1257 de 2008.,civil,3,3.8837497,9.594011
El trabajador interpuso demanda por despido sin justa causa y salarios caídos. Referencia: Ley 1010 de 2006.,laboral,1,12.809395,-0.985838
En el proceso penal se analizan elementos materiales probatorios relacionados con estafa. Referencia: Ley 1010 de 2006.,penal,0,-4.919764,-3.5726063
La Inspección del Trabajo evaluó el conflicto por reconocimiento de prestaciones sociales. Referencia: Ley 1010 de 2006.,laboral,2,8.29838,-6.690682
Se requiere asesoría para proteger derechos de población migrante y mecanismos de protección. Referencia: Ley 1010 de 2006.,migratorio,4,-9.3668585,7.699767
La Inspección del Trabajo evaluó el conflicto por reconocimiento de prestaciones sociales. Referencia: Ley 1448 de 2011.,laboral,2,7.516416,-7.2375345
Se requiere asesoría para proteger derechos de población migrante y mecanismos de protección. Referencia: Ley 100 de 1993.,migratorio,4,-8.571857,9.196271
"El Juzgado resolvió controversia sobre propiedad, posesión y obligaciones. Referencia: Ley 1098 de 2006.",civil,2,4.1973934,0.7184472
Se investiga el delito de estafa y se ordena la práctica de pruebas en Medellín. Referencia: Ley 1010 de 2006.,penal,0,-5.2089767,-6.207484
La Comisaría de Familia imputó cargos por hurto y solicitó medida de aseguramiento. Referencia: Ley 1448 de 2011.,penal,0,0.522473,-0.84852296
Se requiere asesoría para proteger derechos de población migrante y mecanismos de protección. Referencia: Ley 1010 de 2006.,migratorio,4,-10.313139,7.8281035
En el proceso penal se analizan elementos materiales probatorios relacionados con amenazas. Referencia: Ley 100 de 1993.,penal,0,-5.702059,-2.4848108
Se presentó demanda por incumplimiento contractual y reclamación de perjuicios. Referencia: Ley 1257 de 2008.,civil,3,2.0438848,4.3278384
En el proceso penal se analizan elementos materiales probatorios relacionados con violencia intrafamiliar. Referencia: Ley 1257 de 2008.,penal,0,-3.2367086,-4.319505
La Comisaría de Familia ordenó medidas de protección por violencia intrafamiliar. Referencia: Ley 1010 de 2006.,familia,0,-0.9635917,-6.6370015
El litigio civil versa sobre responsabilidad extracontractual y reparación integral. Referencia: Ley 1098 de 2006.,civil,3,4.5054727,8.461673
El trabajador interpuso recurso por despido sin justa causa y salarios caídos. Referencia: Ley 1257 de 2008.,laboral,1,13.810495,-1.9718038
La Comisaría de Familia imputó cargos por amenazas y solicitó medida de aseguramiento. Referencia: Ley 1448 de 2011.,penal,0,0.3888435,-0.65121996
La Inspección del Trabajo evaluó el conflicto por reconocimiento de prestaciones sociales. Referencia: Ley 1448 de 2011.,laboral,2,7.516416,-7.2375345
Se presentó recurso por incumplimiento contractual y reclamación de perjuicios. Referencia: Ley 1448 de 2011.,civil,3,2.949964,4.9184833
Se requiere asesoría para proteger derechos de población migrante y mecanismos de protección. Referencia: Ley 1010 de 2006.,migratorio,4,-9.3668585,7.699767
Se analiza la filiación y el interés superior del menor conforme a Ley 1257 de 2008. Referencia: Ley 1010 de 2006.,familia,2,8.498284,2.6570964
"Se tramita proceso de alimentos, custodia y regulación de visitas. Referencia: Ley 1257 de 2008.",familia,4,-4.8868284,12.356724
Se analiza la filiación y el interés superior del menor conforme a Ley 1098 de 2006. Referencia: Ley 1257 de 2008.,familia,2,8.1235285,2.1974897
"El caso involucra verificación de permisos, atención humanitaria y enfoque diferencial. Referencia: Ley 1257 de 2008.",migratorio,2,-4.1031075,5.762918
La persona migrante solicita orientación sobre regularización y acceso a rutas de atención en Cali. Referencia: Ley 1448 de 2011.,migratorio,4,-13.066436,6.2223163
El litigio civil versa sobre responsabilidad extracontractual y reparación integral. Referencia: Ley 100 de 1993.,civil,3,5.615511,9.311464
La persona migrante solicita orientación sobre regularización y acceso a rutas de atención en Bogotá. Referencia: Ley 1257 de 2008.,migratorio,4,-13.194608,4.967286
La Defensoría ordenó medidas de protección por violencia intrafamiliar. Referencia: Ley 1098 de 2006.,familia,0,0.17406635,-6.105059
Se investiga el delito de amenazas y se ordena la práctica de pruebas en Cali. Referencia: Ley 1010 de 2006.,penal,0,-7.0301447,-7.4499903
La Juzgado evaluó el conflicto por reconocimiento de prestaciones sociales. Referencia: Ley 1098 de 2006.,laboral,2,5.6141744,-5.010839
Se requiere asesoría para proteger derechos de población migrante y mecanismos de protección. Referencia: Ley 1010 de 2006.,migratorio,4,-9.3668585,7.699767
La Inspección del Trabajo ordenó medidas de protección por violencia intrafamiliar. Referencia: Ley 1448 de 2011.,familia,0,1.5038303,-7.890258
La persona migrante solicita orientación sobre regularización y acceso a rutas de atención en Barranquilla. Referencia: Ley 1010 de 2006.,migratorio,4,-11.983467,5.6532946
"Se tramita proceso de alimentos, custodia y regulación de visitas. Referencia: Ley 1257 de 2008.",familia,4,-4.8868284,12.356724
Se presentó recurso por incumplimiento contractual y reclamación de perjuicios. Referencia: Ley 1098 de 2006.,civil,3,2.097826,3.062893
Se presentó tutela por incumplimiento contractual y reclamación de perjuicios. Referencia: Ley 1010 de 2006.,civil,3,2.5258765,2.1577928
La Inspección del Trabajo imputó cargos por hurto y solicitó medida de aseguramiento. Referencia: Ley 1098 de 2006.,penal,0,2.0106354,-1.9826288
El litigio civil versa sobre responsabilidad extracontractual y reparación integral. Referencia: Ley 1098 de 2006.,civil,3,4.5343947,8.907668
Se alega acoso laboral y se solicita reintegro por estabilidad reforzada. Referencia: Ley 1098 de 2006.,laboral,1,13.697883,-5.7004094
Se analiza la filiación y el interés superior del menor conforme a Ley 1257 de 2008. Referencia: Ley 1098 de 2006.,familia,2,7.7945447,2.523191
La Inspección del Trabajo ordenó medidas de protección por violencia intrafamiliar. Referencia: Ley 1257 de 2008.,familia,0,1.1132705,-8.061373
El trabajador interpuso denuncia por despido sin justa causa y salarios caídos. Referencia: Ley 1010 de 2006.,laboral,1,12.712365,-1.8756479
